timestamp,local,event,type,direction,src,dst,control,crc,message_preview,next_hop_ip,next_hop_port
2026-06-18 15:41:29,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:29,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:30,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:30,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:31,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:31,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:31,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:31,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:32,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:32,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:32,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:32,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:33,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:33,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:33,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:33,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:34,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:34,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:34,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:34,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:35,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:35,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:35,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:35,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:36,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:36,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:36,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:36,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:37,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:37,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:37,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:37,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:38,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
